word, freq
小么儿,2
老世伯,2
紫英,2
万全,2
宝钗探,2
哥哥妹妹,2
何必当初,2
鬼灵精,2
紫绡,2
文杏,2
哈哈笑,2
通达,2
若真,2
宝儿,2
阴晴不定,2
王济仁,2
玉环,2
于兹,2
老诚,2
光宗耀祖,2
同宝钗,2
宝钗沉,2
那焙茗,2
黄澄澄,2
和喜儿,2
同莺儿,2
那傅,2
寻宝玉,2
高雅,2
男芸,2
万福金安,2
同翠墨,2
曾云,2
莫谓,2
太真,2
玉为,2
问秋纹,2
种菊,2
武侠,2
平丫头,2
傲世,2
秋光,2
葛巾香,2
于今,2
老寿星,2
玉皇,2
盖碗茶,2
诗词歌赋,2
边红杏,2
天天见,2
妙玉忙,2
今年夏天,2
大吉,2
托墨,2
赖大之,2
尤氏命,2
丁是丁,2
荆钗记,2
平儿扶,2
平儿依,2
鲍二媳妇,2
平儿斟,2
老封君,2
虎视耽耽,2
司马,2
耿耿,2
秋窗秋,2
大伯子,2
贾琏陪,2
薛蟠酒,2
方渐平,2
宝钗香,2
陆放翁,2
古砚微,2
陶渊明,2
杜律,2
碧青,2
干女儿,2
诗兴,2
温八叉,2
金翠,2
越显,2
闻闻,2
宝钗命,2
顾得,2
若生,2
绮儿,2
隋堤,2
盘金彩,2
汤婆子,2
陈皮,2
叶子,2
福寿双全,2
雪深,2
拉宝琴,2
宝钗宝,2
张若锦,2
赵亦华,2
黄布,2
朱笔,2
列祖,2
贾荇贾,2
慧绣,2
慧纹,2
大悦,2
屈膝,2
薛李,2
凤求鸾,2
王忠,2
张大,2
双全,2
单大良,2
红白,2
赵国基,2
若照,2
施恩,2
吴大娘,2
明路儿,2
文妙真人,2
周家为,2
居养静,2
朱子,2
老祝妈,2
叶妈,2
太啬,2
阳虎,2
小东西,2
况贾母,2
连宝钗,2
子满枝,2
别太,2
那芳官,2
友谊,2
柳堤,2
向婆子,2
官藕官,2
白水,2
李子,2
连前儿,2
小蝉,2
玉钏姐姐,2
纳凉,2
秦显,2
若信,2
柳嫂儿,2
过逾,2
赖林诸,2
玉钗,2
唐诗,2
同庚,2
宾天,2
玄真观,2
贾蓉见,2
明珠,2
闻尤氏,2
子嗣,2
隆儿寿,2
何安,2
那凤,2
石崇,2
小姨,2
金帛之,2
贾琏领,2
小妹子,2
饶舌,2
柳二哥,2
谢谢,2
红绿,2
问兴儿,2
那旺儿,2
那兴儿,2
左右开弓,2
贾琏未,2
周瑞旺,2
伏侍姐姐,2
张华便,2
尤家,2
贾王,2
容颜,2
连凤姐,2
那秋桐,2
麻木,2
方吓,2
南柯子,2
唐多令,2
太谦,2
鬼聪明,2
石后,2
司棋因,2
小命儿,2
朱大娘,2
凤姐命,2
花红柳绿,2
金凤,2
向绣桔,2
金凤来,2
张妈,2
潘又安,2
银蝶笑,2
贾珍酒,2
明朗,2
宋太祖,2
玉桂,2
比晴雯,2
李长吉,2
曹娥,2
老王,2
占旺相,2
严词,2
贾元妃,2
贾环重,2
薛文起,2
博庭欢,2
孤儿,2
小郎,2
慕贤良,2
母珠贾,2
甄家仆,2
通灵知,2
贾太君,2
候芳魂,2
妙尼,2
惜春矢,2
双护玉,2
子独承,2
连香菱,2
那本书,2
老佛爷,2
向代儒,2
听秋纹,2
代儒笑,2
黛玉盖,2
有雪雁,2
金银财宝,2
小内监,2
汤儿,2
金桂房,2
贾政陪,2
张心,2
贾政同,2
巨万,2
邢舅,2
黛玉略,2
李祥,2
张二,2
薛蟠实,2
官禄马,2
雪雁正,2
藏香,2
余德,2
贾母刚,2
周瑞道,2
宝二叔,2
恩惠,2
那道婆,2
张琴,2
侍书雪,2
那丰儿,2
邢丫头,2
贾府园,2
苏醒,2
贾母邢,2
贾政王,2
詹光笑,2
宫春晓,2
侍郎,2
秦小官,2
贾政本,2
李家姐妹,2
王奶妈,2
言贾政,2
扶宝玉,2
周折,2
张三之,2
李妈,2
王子,2
贾琏本,2
贾某,2
平正,2
愚蒙,2
那荣府,2
施威,2
老赵,2
安神,2
谢天恩,2
史参奏,2
平儿恐,2
尤氏惜,2
宝钗本,2
和琏儿,2
贾琏复,2
干老子,2
甄家荐,2
相思病,2
仁厚,2
多得很,2
能先知,2
安抚,2
甄少爷,2
旷野,2
那宝钗,2
邢王,2
周孔,2
贾兰中,2
兰桂齐芳,2
玄幻,1
慕之,1
温柔乡,1
洪恩,1
隆盛,1
何舍,1
苍天,1
陈迹,1
何太痴,1
子建,1
胡牵,1
章回,1
石上书,1
明礼义,1
雨露,1
那绛珠,1
向士隐,1
小斋,1
严老爷,1
中秋佳节,1
雨村吟,1
何兴,1
小酌,1
凝辉,1
妙哉,1
红日三竿,1
贾爷,1
元霄,1
霍启直,1
殷实,1
朽屋,1
稼穑,1
宿慧,1
封氏闻,1
甄爷,1
何兆,1
那雨村,1
闻得今,1
盛德,1
科第,1
钟鼎之家,1
侍汤奉,1
郭外,1
林深竹,1
龙钟,1
那老僧,1
贾复,1
荣二宅,1
贾敷,1
王莽,1
曹操,1
桓温,1
秦桧,1
仁人君子,1
乖僻邪谬,1
薄祚,1
陶潜,1
阮籍,1
嵇康,1
刘伶,1
陈后主,1
唐明皇,1
宋徽宗,1
刘庭芝,1
石曼卿,1
秦少游,1
倪云林,1
祝枝山,1
李龟,1
黄幡绰,1
卓文君,1
薛涛,1
老夫,1
贾敏,1
方愈,1
汝父,1
顾盼,1
扶危,1
华冠丽服,1
顾盼神飞,1
何药,1
双衡,1
含春威,1
丹唇,1
熙凤亲,1
邢氏,1
盛妆丽服,1
容谅,1
轩昂,1
穆莳拜,1
南北宽,1
熙凤忙,1
惜春右,1
方引凤,1
李二人,1
齐眉,1
小朝,1
黑亮,1
韶光,1
西子胜,1
国子监,1
今黛玉,1
戴天恩,1
从顺,1
阿房宫,1
尚书令,1
史公,1
太尉,1
紫薇,1
薛公,1
扶鸾,1
冯魂,1
冯家作,1
王氏乃,1
母所生,1
英莲生,1
冯家来,1
荣公,1
贾宅族,1
畅怀,1
孤高自许,1
况自,1
练达,1
寿昌,1
于含章,1
朱栏白,1
云堆,1
楚楚,1
之辉辉,1
冰清玉润,1
容兮,1
香培玉琢,1
